raceId,circuitId,constructorId,driverId,year,lap,tire_age,milliseconds
1,1,5,7,2009,21,21,119817
1,1,5,7,2009,22,22,125470
1,1,5,7,2009,23,23,152290
1,1,5,7,2009,24,24,135614
1,1,5,7,2009,25,25,98021
1,1,5,7,2009,26,26,94568
1,1,5,7,2009,27,27,92765
1,1,5,7,2009,28,28,92428
1,1,5,7,2009,29,29,91881
1,1,5,7,2009,30,30,91511
1,1,5,7,2009,31,31,91284
1,1,5,7,2009,32,32,92876
1,1,5,7,2009,33,33,91551
1,1,5,7,2009,34,34,91144
1,1,5,7,2009,35,35,90761
1,1,5,7,2009,36,36,90944
1,1,5,7,2009,37,37,92845
1,1,5,7,2009,38,38,91620
1,1,5,7,2009,39,39,90882
1,1,5,7,2009,40,40,90493
1,1,5,7,2009,41,41,90883
1,1,5,7,2009,42,42,91477
1,1,5,7,2009,43,43,91305
1,1,5,7,2009,44,44,90529
1,1,5,7,2009,45,45,90324
1,1,5,7,2009,46,46,90807
1,1,5,7,2009,47,47,90037
1,1,5,7,2009,48,48,90553
1,1,5,7,2009,49,49,90067
1,1,5,7,2009,50,50,89823
1,1,5,7,2009,51,51,89896
1,1,5,7,2009,52,52,91328
1,1,5,7,2009,53,53,91648
1,1,5,7,2009,54,54,91565
1,1,5,7,2009,55,55,92092
1,1,5,7,2009,56,56,113649
1,1,5,7,2009,57,57,128904
1,1,5,7,2009,58,58,134500
1,1,6,8,2009,1,1,101712
1,1,6,8,2009,2,2,91442
1,1,6,8,2009,3,3,91560
1,1,6,8,2009,4,4,89507
1,1,6,8,2009,5,5,89529
1,1,6,8,2009,6,6,90237
1,1,6,8,2009,7,7,90547
1,1,6,8,2009,8,8,91548
1,1,6,8,2009,9,9,92420
1,1,6,8,2009,10,10,116181
1,1,6,8,2009,11,11,97097
1,1,6,8,2009,12,12,91544
1,1,6,8,2009,13,13,90920
1,1,6,8,2009,14,14,90489
1,1,6,8,2009,15,15,90022
1,1,6,8,2009,16,16,90293
1,1,6,8,2009,17,17,90725
1,1,6,8,2009,18,18,93746
1,1,6,8,2009,19,19,103919
1,1,6,8,2009,20,20,102903
1,1,6,8,2009,21,21,105975
1,1,6,8,2009,22,22,155474
1,1,6,8,2009,23,23,152090
1,1,6,8,2009,24,24,141644
1,1,6,8,2009,25,25,94740
1,1,6,8,2009,26,26,91718
1,1,6,8,2009,27,27,90312
1,1,6,8,2009,28,28,89278
1,1,6,8,2009,29,29,89468
1,1,6,8,2009,30,30,89665
1,1,6,8,2009,31,31,89101
1,1,6,8,2009,32,32,88814
1,1,6,8,2009,33,33,88934
1,1,6,8,2009,34,34,88824
1,1,6,8,2009,35,35,88488
1,1,6,8,2009,36,36,88722
1,1,6,8,2009,37,37,88870
1,1,6,8,2009,38,38,88555
1,1,6,8,2009,39,39,106769
1,1,6,8,2009,40,40,96471
1,1,6,8,2009,41,41,89996
1,1,6,8,2009,42,42,89453
1,1,6,8,2009,43,43,129183
1,1,6,8,2009,44,44,96010
1,1,6,8,2009,45,45,88669
1,1,6,8,2009,46,46,90025
1,1,6,8,2009,47,47,90045
1,1,6,8,2009,48,48,89326
1,1,6,8,2009,49,49,90129
1,1,6,8,2009,50,50,90615
1,1,6,8,2009,51,51,91670
1,1,6,8,2009,52,52,95432
1,1,6,8,2009,53,53,94204
1,1,6,8,2009,54,54,97601
1,1,6,8,2009,55,55,116690
1,1,2,9,2009,1,1,101250
1,1,2,9,2009,2,2,91450
1,1,2,9,2009,3,3,90779
